x,y,xvar,yvar,cov,ts,mfgID,GID
188591.5941,1997137.405,0.5384,0.8908,0.2271,1/18/2017 10:17:00 AM,52,"""2017-52-1-018"""
188637.1176,1997109,0,0,0,1/18/2017 11:03:40 AM,64,"""2017-64-2-018"""
188256.9124,1996898.052,35265.8986,18760.4659,25659.8811,1/18/2017 11:33:20 AM,359,"""2017-359-1-018"""
188491.5507,1997052.453,3.2708,10.2632,4.0516,1/18/2017 11:49:20 AM,359,"""2017-359-2-018"""
188466.8471,1997060.865,3.0488,9.8731,4.3024,1/18/2017 12:19:40 PM,359,"""2017-359-3-018"""
189286.4955,1996499.931,1.707,4.7156,-0.4899,1/20/2017 12:14:40 PM,44,"""2017-44-1-020"""
189285.7536,1996508.485,0.4616,0.489,0.2062,1/20/2017 12:38:00 PM,44,"""2017-44-2-020"""
189289.8505,1996526.538,1.4688,1.4815,0.7882,1/21/2017 11:27:40 AM,44,"""2017-44-1-021"""
189252.0411,1996478.287,11.2409,11.3673,9.4641,1/22/2017 10:10:00 AM,44,"""2017-44-1-022"""
188614.8714,1997180.162,0.7139,0.2036,0.2183,1/24/2017 9:08:00 AM,52,"""2017-52-2-024"""
188615.5766,1997219.738,1.9682,5.8675,1.6676,1/24/2017 11:12:20 AM,52,"""2017-52-3-024"""
188577.0791,1997212.475,4.7517,4.6814,3.6341,1/24/2017 12:56:00 PM,52,"""2017-52-4-024"""
188493.4486,1996888.946,0,0,0,1/24/2017 1:55:40 PM,359,"""2017-359-1-024"""
189341.9965,1996445.866,0.4923,0.5668,0.1125,1/25/2017 7:08:40 AM,44,"""2017-44-2-025"""
189029.7705,1996999.837,0,0,0,1/25/2017 8:05:00 AM,39,"""2017-39-1-025"""
189062.5688,1996708.939,1.2517,2.1481,-0.8208,1/25/2017 8:53:20 AM,380,"""2017-380-2-025"""
189290.6957,1996499.785,0.4196,0.3081,0.0288,1/25/2017 9:22:00 AM,44,"""2017-44-3-025"""
189119.6153,1996710.727,4.5221,0.7784,0.1624,1/25/2017 9:35:40 AM,380,"""2017-380-3-025"""
189072.6545,1996697.933,0,0,0,1/26/2017 6:39:00 AM,380,"""2017-380-1-026"""
189339.9808,1996447.788,80.2144,3.3722,2.362,1/26/2017 6:48:40 AM,44,"""2017-44-1-026"""
189075.5605,1996708.193,1.0318,0.9632,-0.511,1/26/2017 7:04:20 AM,380,"""2017-380-2-026"""
189087.7173,1996715.076,0.5907,2.1696,-0.5711,1/26/2017 7:25:00 AM,380,"""2017-380-3-026"""
189035.9954,1996894.914,21.3049,2.4084,4.2589,1/26/2017 7:51:20 AM,39,"""2017-39-1-026"""
